번호,설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
1718,AP_P067,장터길 33,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 장터길 33,,성동구,02-2286-5176,37.5483131,127.0195618,2020-12-20
1719,AP_P069,난계로 67,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 난계로 67,,성동구,02-2286-5176,37.5578308,127.0232925,2020-12-20
1720,AP_P071,마장로39길 36,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 마장로39길 36,,성동구,02-2286-5176,37.5684700,127.0436707,2020-12-20
1721,AP_P072,아차산로17길 26,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 아차산로17길 26,,성동구,02-2286-5176,37.5444984,127.0643692,2020-12-20
1722,AP_P073,독서당로62길 24,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 독서당로62길 24,,성동구,02-2286-5176,37.5506401,127.0330734,2020-12-20
1723,AP_P075,청계천로 422,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 청계천로 422,,성동구,02-2286-5176,37.5710373,127.0235367,2020-12-20
1724,AP_P076,한림말5길 33-8,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 한림말5길 33-8,,성동구,02-2286-5176,37.5446320,127.0164032,2020-12-20
1725,AP_P077,서울숲길 18,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 서울숲길 18,,성동구,02-2286-5176,37.5483284,127.0392227,2020-12-20
1726,AP_P078,서울숲길 49,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 서울숲길 49,,성동구,02-2286-5176,37.5481606,127.0429459,2020-12-20
1727,AP_P079,옥수동 77-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 옥수동 77-1,,성동구,02-2286-5176,37.5414124,127.0177383,2020-12-20
1728,AP_P080,청계천로 448,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 청계천로 448,,성동구,02-2286-5176,37.5702820,127.0264969,2020-12-20
1729,AP_P081(1),성수이로 147,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 성수이로 147,,성동구,02-2286-5176,37.5478058,127.0578690,2020-12-20
1730,AP_P081(2),성수이로 147,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 성수이로 147,,성동구,02-2286-5176,37.5486049,127.0581219,2020-12-20
1731,AP_P082,금호로 118,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 금호로 118,,성동구,02-2286-5176,37.5530090,127.0238342,2020-12-20
1732,AP_P083,왕십리로 400,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 왕십리로 400,,성동구,02-2286-5176,37.5655251,127.0258942,2020-12-20
1733,AP_P084,왕십리로 382,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 왕십리로 382,,성동구,02-2286-5176,37.5653343,127.0284958,2020-12-20
1734,AP_P085,뚝섬로3길 16,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 뚝섬로3길 16,,성동구,02-2286-5176,37.5418243,127.0493622,2020-12-20
1735,AP_P086,살곶이길 327,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 살곶이길 327,,성동구,02-2286-5176,37.5549850,127.0406418,2020-12-20
1736,AP_P087(1),행당동 77-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당동 77-1,,성동구,02-2286-5176,37.5536957,127.0419540,2020-12-20
1737,AP_P087(2),행당동 77-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당동 77-1,,성동구,02-2286-5176,37.5531445,127.0400056,2020-12-20
1738,AP_P090,행당동 168-40,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당동 168-40,,성동구,02-2286-5176,37.5611490,127.0378440,2020-12-20
1739,AP_P093,서울숲2길 32-14,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 서울숲2길 32-14,,성동구,02-2286-5176,37.5450478,127.0433861,2020-12-20
1740,AP_P094,서울숲2길 32-14,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 서울숲2길 32-14,,성동구,02-2286-5176,37.5453473,127.0435956,2020-12-20
1741,AP_P095,아차산로17길 7,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 아차산로17길 7,,성동구,02-2286-5176,37.5424979,127.0634524,2020-12-20
1742,AP_S001(1),행당동 33-13,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당동 33-13,,성동구,02-2286-5176,37.5569388,127.0432133,2020-12-20
1743,AP_S001(2),행당동 33-13,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당동 33-13,,성동구,02-2286-5176,37.5575654,127.0421625,2020-12-20
1744,AP_S002(1),행당동 349,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당동 349,,성동구,02-2286-5176,37.5553807,127.0344556,2020-12-20
1745,성수1가2동 주민센터,성수1가2동주민센터 지하1층 작은책마루,서울특별시,성동구,관공서,성동구,SEOUL,2019-01,서울특별시 성동구 왕십리로5길 3,,서울특별시 성동구,02-2286-5176,37.5463750,127.0442630,2020-12-20
1746,성수1가2동 주민센터,성수1가2동주민센터 1층 해온어린이집,서울특별시,성동구,관공서,성동구,SEOUL,2019-01,서울특별시 성동구 왕십리로5길 3,,서울특별시 성동구,02-2286-5176,37.5463750,127.0442630,2020-12-20
1747,성수1가2동 주민센터,성수1가2동주민센터 2층 동주민센터,서울특별시,성동구,관공서,성동구,SEOUL,2019-01,서울특별시 성동구 왕십리로5길 3,,서울특별시 성동구,02-2286-5176,37.5463750,127.0442630,2020-12-20
1748,성수1가2동 주민센터,성수1가2동주민센터 2층 동주민센터,서울특별시,성동구,관공서,성동구,SEOUL,2019-01,서울특별시 성동구 왕십리로5길 3,,서울특별시 성동구,02-2286-5176,37.5463750,127.0442630,2020-12-20
1749,성수1가2동 주민센터,성수1가2동주민센터 3층 데이케어센터,서울특별시,성동구,관공서,성동구,SEOUL,2019-01,서울특별시 성동구 왕십리로5길 3,,서울특별시 성동구,02-2286-5176,37.5463750,127.0442630,2020-12-20
1750,성수1가2동 주민센터,성수1가2동주민센터 4층 성수보건지소,서울특별시,성동구,관공서,성동구,SEOUL,2019-01,서울특별시 성동구 왕십리로5길 3,,서울특별시 성동구,02-2286-5176,37.5463750,127.0442630,2020-12-20
1751,성수1가2동 주민센터,성수1가2동주민센터 5층 치매안심센터,서울특별시,성동구,관공서,성동구,SEOUL,2019-01,서울특별시 성동구 왕십리로5길 3,,서울특별시 성동구,02-2286-5176,37.5463750,127.0442630,2020-12-20
1752,성동구청,성동구청1층 책마루AP1,서울특별시,성동구,관공서,성동구,SEOUL,2017-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1753,성동구청,성동구청1층 책마루AP2,서울특별시,성동구,관공서,성동구,SEOUL,2017-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1754,성동구청,성동구청1층 책마루AP3,서울특별시,성동구,관공서,성동구,SEOUL,2017-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1755,성동구청,성동구청 정문,서울특별시,성동구,관공서,성동구,SEOUL,2018-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1756,성동구청,청사13층 맑은환경과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1757,성동구청,청사13층 지역경재과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1758,성동구청,청사12층 건축과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1759,성동구청,청사12층 공직자윤리위원회,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1760,성동구청,청사12층 감사담당관,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1761,성동구청,청사11층 교육지원과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1762,성동구청,청사11층 도시계획과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1763,성동구청,청사11층 주택과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1764,성동구청,청사10층 공원녹지과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1765,성동구청,청사10층 청소행정과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1766,성동구청,청사10층 보육가족과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1767,성동구청,청사9층 노인청소년과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1768,성동구청,청사9층 주민생활과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1769,성동구청,청사9층 사회복지과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1770,성동구청,청사8층 문화체육과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1771,성동구청,청사8층 기획예산과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1772,성동구청,청사7층 구청장실,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1773,성동구청,청사7층 부구청장실,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1774,성동구청,청사7층 총무과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1775,성동구청,청사6층 교통행정과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1776,성동구청,청사6층 자치행정과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1777,성동구청,청사6층 재무과,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1778,성동구청,청사5층 도시통합관제센터,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1779,AP_C137,동일로43길 6,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 동일로43길 6,,성동구,02-2286-5176,37.5538216,127.0700378,2020-12-20
1780,AP_C138,용답19길 17-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 용답19길 17-1,,성동구,02-2286-5176,37.5638695,127.0529022,2020-12-20
1781,AP_C141,용답25길 15,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 용답25길 15,,성동구,02-2286-5176,37.5619087,127.0533142,2020-12-20
1782,AP_C142,용답중앙11길 12,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 용답중앙11길 12,,성동구,02-2286-5176,37.5659828,127.0519180,2020-12-20
1783,AP_C145,왕십리로26길 28,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 왕십리로26길 28,,성동구,02-2286-5176,37.5655518,127.0331268,2020-12-20
1784,AP_C147,고산자로 270,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 고산자로 270,,성동구,02-2286-5176,37.5625839,127.0370331,2020-12-20
1785,AP_C148,무학로14길 51,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 무학로14길 51,,성동구,02-2286-5176,37.5694275,127.0354385,2020-12-20
1786,AP_C150,무학봉길 50,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 무학봉길 50,,성동구,02-2286-5176,37.5604897,127.0281143,2020-12-20
1787,AP_C151,마장로 258,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 마장로 258,,성동구,02-2286-5176,37.5652313,127.0383530,2020-12-20
1788,AP_C153,사근동12길 3,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 사근동12길 3,,성동구,02-2286-5176,37.5607529,127.0484238,2020-12-20
1789,AP_C156,고산자로8길 6,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 고산자로8길 6,,성동구,02-2286-5176,37.5563927,127.0349731,2020-12-20
1790,AP_C157,행당로1길 23,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당로1길 23,,성동구,02-2286-5176,37.5573349,127.0245667,2020-12-20
1791,AP_C161(2),성덕정1길 7,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 성덕정1길 7,,성동구,02-2286-5176,37.5394111,127.0459767,2020-12-20
1792,AP_C163,매봉길 16-27,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 매봉길 16-27,,성동구,02-2286-5176,37.5456429,127.0164795,2020-12-20
1793,AP_C165(1),살곶이 체육공원 주차장,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 살곶이 체육공원 주차장,,성동구,02-2286-5176,37.5549850,127.0493469,2020-12-20
1794,AP_C165(2),살곶이 체육공원 주차장,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 살곶이 체육공원 주차장,,성동구,02-2286-5176,37.5543007,127.0500898,2020-12-20
1795,AP_C167,달맞이봉 공원 입구 계단,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 달맞이봉 공원 입구 계단,,성동구,02-2286-5176,37.5433769,127.0225143,2020-12-20
1796,AP_C176,성수이로16길 21,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 성수이로16길 21,,성동구,02-2286-5176,37.5404778,127.0591049,2020-12-20
1797,AP_C177,아차산로17길 13,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 아차산로17길 13,,성동구,02-2286-5176,37.5437012,127.0639954,2020-12-20
1798,AP_C179,송정18가길 6-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 송정18가길 6-1,,성동구,02-2286-5176,37.5530930,127.0686951,2020-12-20
1799,AP_C180,동일로55길 14-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 동일로55길 14-1,,성동구,02-2286-5176,37.5564934,127.0701571,2020-12-20
1800,AP_C182,자동차시장1길 14,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 자동차시장1길 14,,성동구,02-2286-5176,37.5610657,127.0590515,2020-12-20
1801,AP_C183,왕십리로31가길 19,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 왕십리로31가길 19,,성동구,02-2286-5176,37.5640144,127.0291138,2020-12-20
1802,AP_C184,왕십리로24나길 20,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 왕십리로24나길 20,,성동구,02-2286-5176,37.5639954,127.0354538,2020-12-20
1803,AP_C185,행당로17길 33,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당로17길 33,,성동구,02-2286-5176,37.5610619,127.0324478,2020-12-20
1804,AP_C187,청계천로10가길 36,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 청계천로10가길 36,,성동구,02-2286-5176,37.5708809,127.0343933,2020-12-20
1805,AP_C188,마장로37길 7,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 마장로37길 7,,성동구,02-2286-5176,37.5677338,127.0384979,2020-12-20
1806,AP_C190,고산자로8나길 29,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 고산자로8나길 29,,성동구,02-2286-5176,37.5571175,127.0357590,2020-12-20
1807,AP_C191,고산자로12길 10-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 고산자로12길 10-1,,성동구,02-2286-5176,37.5598145,127.0354309,2020-12-20
1808,AP_C198,독서당로 296-11,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 독서당로 296-11,,성동구,02-2286-5176,37.5479528,127.0214739,2020-12-20
1809,AP_C199,금호산6길 16,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 금호산6길 16,,성동구,02-2286-5176,37.5497742,127.0195770,2020-12-20
1810,AP_C200,한림말5길 25,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 한림말5길 25,,성동구,02-2286-5176,37.5437622,127.0164719,2020-12-20
1811,AP_C205,광나루로11길 40,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 광나루로11길 40,,성동구,02-2286-5176,37.5512543,127.0677338,2020-12-20
1812,AP_C206,용답19길 6-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 용답19길 6-1,,성동구,02-2286-5176,37.5629883,127.0519714,2020-12-20
1813,청계천문화관,청계천문화관,서울특별시,성동구,지역문화시설,서울시,SEOUL,2012-01,서울특별시 성동구 청계천로 530,,서울시,02-2133-6864,37.5718470,127.0349680,2020-12-20
1814,청계천문화관,청계천문화관,서울특별시,성동구,지역문화시설,서울시,SEOUL,2012-01,서울특별시 성동구 청계천로 530,,서울시,02-2133-6864,37.5718470,127.0349680,2020-12-20
1815,청계천문화관,청계천문화관,서울특별시,성동구,지역문화시설,서울시,SEOUL,2012-01,서울특별시 성동구 청계천로 530,,서울시,02-2133-6864,37.5718470,127.0349680,2020-12-20
1816,청계천문화관,청계천문화관,서울특별시,성동구,지역문화시설,서울시,SEOUL,2012-01,서울특별시 성동구 청계천로 530,,서울시,02-2133-6864,37.5718470,127.0349680,2020-12-20
1817,AP_S002(2),행당동 349,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당동 349,,성동구,02-2286-5176,37.5560317,127.0343922,2020-12-20
1818,AP_S003,금호동3가 1583,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 금호동3가 1583,,성동구,02-2286-5176,37.5486385,127.0154750,2020-12-20
1819,AP_S004(1),옥수동 산 5-148,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 옥수동 산 5-148,,성동구,02-2286-5176,37.5435143,127.0136890,2020-12-20
1820,AP_S004(2),옥수동 산 5-148,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 옥수동 산 5-148,,성동구,02-2286-5176,37.5440299,127.0151375,2020-12-20
1821,AP_S005,송정동 66-30,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 송정동 66-30,,성동구,02-2286-5176,37.5482730,127.0641179,2020-12-20
1822,AP_S006,금호동2가 223-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 금호동2가 223-1,,성동구,02-2286-5176,37.5556273,127.0198959,2020-12-20
1823,AP_S007,성수동2가 333-16,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 성수동2가 333-16,,성동구,02-2286-5176,37.5393967,127.0532762,2020-12-20
1824,AP_S008,응봉동 144-7,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 응봉동 144-7,,성동구,02-2286-5176,37.5532141,127.0333314,2020-12-20
1825,AP_S009(1),행당동 7,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당동 7,,성동구,02-2286-5176,37.5637392,127.0360384,2020-12-20
1826,AP_S009(2),행당동 7,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 행당동 7,,성동구,02-2286-5176,37.5646987,127.0361690,2020-12-20
1827,AP_S010(1),하왕십리동 860-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 하왕십리동 860-1,,성동구,02-2286-5176,37.5647410,127.0285990,2020-12-20
1828,AP_S010(2),하왕십리동 860-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 하왕십리동 860-1,,성동구,02-2286-5176,37.5649308,127.0277267,2020-12-20
1829,AP_W057,마조로 60,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 마조로 60,,성동구,02-2286-5176,37.5628891,127.0418472,2020-12-20
1830,AP_Avenue,성수동1가 685-704,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 성수동1가 685-704,,성동구,02-2286-5176,37.5434510,127.0437130,2020-12-20
1831,AP_Jaebang,송정동 75-24,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 송정동 75-24,,성동구,02-2286-5176,37.5507875,127.0535800,2020-12-20
1832,AP_Sangtae,살곶이길 69,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 살곶이길 69,,성동구,02-2286-5176,37.5692724,127.0457814,2020-12-20
1833,AP_Chisu01,사근동 235-1,서울특별시,성동구,기타,성동구,SEOUL,2020-11,서울특별시 성동구 사근동 235-1,,성동구,02-2286-5176,37.5625357,127.0502339,2020-12-20
1834,성동구청,청사5층 세미나실,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1835,성동구청,청사5층 전산교육장,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1836,성동구청,청사5층 공무원노조사무실,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1837,성동구청,청사4층 차량관리실,서울특별시,성동구,관공서,성동구,SEOUL,2015-01,서울특별시 성동구 고산자로 270,,서울특별시 성동구,02-2286-5176,37.5634560,127.0368210,2020-12-20
1838,성수수제화 희망플랫폼,성수수제화희망플랫폼1층,서울특별시,성동구,기타,성동구,SEOUL,2018-01,서울특별시 성동구 아차산로 53,,서울특별시 성동구,02-2286-5176,37.5461210,127.0512300,2020-12-20
1839,성수수제화 희망플랫폼,성수수제화희망플랫폼2층,서울특별시,성동구,기타,성동구,SEOUL,2018-01,서울특별시 성동구 아차산로 53,,서울특별시 성동구,02-2286-5176,37.5461210,127.0512300,2020-12-20
1840,성수수제화 희망플랫폼 수제화거리,성수수제화희망플랫폼수제화거리AP1,서울특별시,성동구,기타,성동구,SEOUL,2018-01,서울특별시 성동구 아차산로 53,,서울특별시 성동구,02-2286-5176,37.5461210,127.0512300,2020-12-20
1841,성수수제화 희망플랫폼 수제화거리,성수수제화희망플랫폼수제화거리AP2,서울특별시,성동구,기타,성동구,SEOUL,2018-01,서울특별시 성동구 아차산로 53,,서울특별시 성동구,02-2286-5176,37.5461210,127.0512300,2020-12-20
1842,성동노인복지관,(2층복도),서울특별시,성동구,서민·복지시설,서울시(SKT),SEOUL,2017-01,,서울특별시 성동구 마장동 774-2,서울시(SKT),02-2133-6864,37.5653400,127.0412390,2020-12-20
1843,성동노인복지관,(2층 강의실),서울특별시,성동구,서민·복지시설,서울시(SKT),SEOUL,2017-01,,서울특별시 성동구 마장동 774-2,서울시(SKT),02-2133-6864,37.5653400,127.0412390,2020-12-20
1844,성동노인복지관,(3층복도),서울특별시,성동구,서민·복지시설,서울시(SKT),SEOUL,2017-01,,서울특별시 성동구 마장동 774-2,서울시(SKT),02-2133-6864,37.5653400,127.0412390,2020-12-20
1845,성동노인복지관,(3강의실),서울특별시,성동구,서민·복지시설,서울시(SKT),SEOUL,2017-01,,서울특별시 성동구 마장동 774-2,서울시(SKT),02-2133-6864,37.5653400,127.0412390,2020-12-20
1846,성동노인복지관,(4층복도),서울특별시,성동구,서민·복지시설,서울시(SKT),SEOUL,2017-01,,서울특별시 성동구 마장동 774-2,서울시(SKT),02-2133-6864,37.5653400,127.0412390,2020-12-20
1847,성동노인복지관,(4층강의실),서울특별시,성동구,서민·복지시설,서울시(SKT),SEOUL,2017-01,,서울특별시 성동구 마장동 774-2,서울시(SKT),02-2133-6864,37.5653400,127.0412390,2020-12-20
1848,성동종합사회복지관,청계천로 506,서울특별시,성동구,서민·복지시설,미래부(SKT),,2014-01,서울특별시 성동구 청계천로 506,,미래부(SKT),02-2286-5176,37.5702080,127.0334430,2020-12-20
1849,성동종합사회복지관,청계천로 506,서울특별시,성동구,서민·복지시설,미래부(SKT),,2014-01,서울특별시 성동구 청계천로 506,,미래부(SKT),02-2286-5176,37.5702080,127.0334430,2020-12-20
1850,성동종합사회복지관,청계천로 506,서울특별시,성동구,서민·복지시설,미래부(SKT),,2014-01,서울특별시 성동구 청계천로 506,,미래부(SKT),02-2286-5176,37.5702080,127.0334430,2020-12-20
1851,성동종합사회복지관,청계천로 506,서울특별시,성동구,서민·복지시설,미래부(SKT),,2014-01,서울특별시 성동구 청계천로 506,,미래부(SKT),02-2286-5176,37.5702080,127.0334430,2020-12-20
1852,성동종합사회복지관,청계천로 506,서울특별시,성동구,서민·복지시설,미래부(SKT),,2014-01,서울특별시 성동구 청계천로 506,,미래부(SKT),02-2286-5176,37.5702080,127.0334430,2020-12-20
1853,성동종합사회복지관,마장동 527-2,서울특별시,성동구,서민·복지시설,미래부(KT),,2013-01,서울특별시 성동구 청계천로 506,,미래부(KT),02-2286-5176,37.5702080,127.0334430,2020-12-20
