번호	설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치연월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	WGS84위도	WGS84경도	데이터기준일자
3592	가재울 지혜마루 도서관	가재울지혜마루도서관	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Nov-21	서울특별시 노원구 한글비석로 97		서울특별시 노원구청	02-2116-3434	37.6382446	127.0728277	2022-08-28
3593	월계문화체육센터	월계문화체육센터4층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3594	월계문화체육센터	월계문화체육센터3층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3595	월계문화체육센터	월계문화체육센터3층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3596	월계문화체육센터	월계문화체육센터3층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3597	월계문화체육센터	월계문화체육센터4층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3598	월계문화체육센터	월계문화체육센터2층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3599	월계문화체육센터	월계문화체육센터2층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3600	월계문화체육센터	월계문화체육센터2층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3601	월계문화체육센터	월계문화체육센터1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3602	월계문화체육센터	월계문화체육센터1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3603	월계문화체육센터	월계문화체육센터1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3604	월계문화체육센터	월계문화체육센터1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 월계로 298		서울특별시 노원구청	02-2116-3434	37.6266777	127.0547288	2022-08-28
3605	중계2.3동주민센터	중계2.3동주민센터3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 노원로17길 56		서울특별시 노원구청	02-2116-3434	37.642132	127.0687374	2022-08-28
3606	상계1동주민센터	상계1동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 동일로 1697		서울특별시 노원구청	02-2116-3434	37.6799119	127.0549361	2022-08-28
3607	노원구청	노원구청신관6층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3608	노원구청	노원구청토목과창고2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 공릉로 55길 138		서울특별시 노원구청	02-2116-3434	37.6320011	127.0649974	2022-08-28
3609	노원구청	노원구청본관1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3610	노원 문화의집	노원문화의집	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 한글비석로 530		서울특별시 노원구청	02-2116-3434	37.665145	127.0577171	2022-08-28
3611	한내지혜의숲	한내지혜의숲1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 마들로 86		서울특별시 노원구청	02-2116-3434	37.6235877	127.0687467	2022-08-28
3612	한내지혜의숲	한내지혜의숲1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 마들로 86		서울특별시 노원구청	02-2116-3434	37.6235877	127.0687467	2022-08-28
3613	노원구청	노원구청본관2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Nov-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3614	노원구청	노원구청본관2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Nov-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3615	노원구청	노원구청신관지하1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Nov-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3616	중계본동주민센터	중계본동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 중계로 143		서울특별시 노원구청	02-2116-3434	37.6478107	127.0802838	2022-08-28
3617	중계4동주민센터	중계4동주민센터3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 덕릉로82길 50		서울특별시 노원구청	02-2116-3434	37.6587626	127.0779763	2022-08-28
3618	중계4동주민센터	중계4동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 덕릉로82길 50		서울특별시 노원구청	02-2116-3434	37.6587626	127.0779763	2022-08-28
3619	월계3동주민센터	월계3동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 마들로 57		서울특별시 노원구청	02-2116-3434	37.6210217	127.0692458	2022-08-28
3620	월계1동주민센터	월계1동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 석계로 59		서울특별시 노원구청	02-2116-3434	37.6198943	127.0629907	2022-08-28
3621	월계1동주민센터	월계1동주민센터3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 석계로 59		서울특별시 노원구청	02-2116-3434	37.6198943	127.0629907	2022-08-28
3622	상계8동주민센터	상계8동주민센터3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로227길 97		서울특별시 노원구청	02-2116-3434	37.6667544	127.0515603	2022-08-28
3623	불암산스타디움 구민체육센터	불암산스타디움구민체육센터3층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 중계로 36		서울특별시 노원구청	02-2116-3434	37.6388038	127.0832022	2022-08-28
3624	불암산스타디움 구민체육센터	불암산스타디움구민체육센터2층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 중계로 36		서울특별시 노원구청	02-2116-3434	37.6388038	127.0832022	2022-08-28
3625	노원문화원	노원문화원3층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로197길 24		서울특별시 노원구청	02-2116-3434	37.6288093	127.0698005	2022-08-28
3626	노원문화원	노원문화원2층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로197길 24		서울특별시 노원구청	02-2116-3434	37.6288093	127.0698005	2022-08-28
3627	노원문화원	노원문화원1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로197길 24		서울특별시 노원구청	02-2116-3434	37.6288093	127.0698005	2022-08-28
3628	노원구청	노원구청신관6층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3629	노원구청	노원구청본관옥상	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3630	노원구민체육센터	노원구민체육센터3층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노원로22길 1		서울특별시 노원구청	02-2116-3434	37.6481922	127.070675	2022-08-28
3631	노원구민체육센터	노원구민체육센터3층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노원로22길 1		서울특별시 노원구청	02-2116-3434	37.6481922	127.070675	2022-08-28
3632	노원구민체육센터	노원구민체육센터1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노원로22길 1		서울특별시 노원구청	02-2116-3434	37.6481922	127.070675	2022-08-28
3633	노원구민체육센터	노원구민체육센터1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노원로22길 1		서울특별시 노원구청	02-2116-3434	37.6481922	127.070675	2022-08-28
3634	노원구민체육센터	노원구민체육센터지하1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노원로22길 1		서울특별시 노원구청	02-2116-3434	37.6481922	127.070675	2022-08-28
3635	노원구민체육센터	노원구민체육센터지하1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노원로22길 1		서울특별시 노원구청	02-2116-3434	37.6481922	127.070675	2022-08-28
3636	공릉행복발전소	공릉행복발전소3층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로179길 22		서울특별시 노원구청	02-2116-3434	37.6220264	127.0727647	2022-08-28
3637	공릉행복발전소	공릉행복발전소2층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로179길 22		서울특별시 노원구청	02-2116-3434	37.6220264	127.0727647	2022-08-28
3638	공릉행복발전소	공릉행복발전소1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로179길 22		서울특별시 노원구청	02-2116-3434	37.6220264	127.0727647	2022-08-28
3639	노원 평생교육원	노원평생교육원1층	서울특별시	노원구	교육시설	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 동일로217길 48		서울특별시 노원구청	02-2116-3434	37.6530268	127.058012	2022-08-28
3640	노원 어울림극장	노원어울림극장로비	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 노해로 502		서울특별시 노원구청	02-2116-3434	37.6544698	127.0636387	2022-08-28
3641	공릉보건지소	공릉보건지소2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 공릉로 166-1		서울특별시 노원구청	02-2116-3434	37.624793	127.0799951	2022-08-28
3642	노원구청	노원구청신관5층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Sep-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3643	하계2동주민센터	하계2동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 공릉로55길 88		서울특별시 노원구청	02-2116-3434	37.6320583	127.0679637	2022-08-28
3644	월계1동주민센터	월계1동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 석계로 59		서울특별시 노원구청	02-2116-3434	37.6198943	127.0629907	2022-08-28
3645	상계9동주민센터	상계9동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 한글비석로 487		서울특별시 노원구청	02-2116-3434	37.6645317	127.0638287	2022-08-28
3646	상계8동주민센터	상계8동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로227길 97		서울특별시 노원구청	02-2116-3434	37.6667544	127.0515603	2022-08-28
3647	상계6.7동주민센터	상계6.7동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노원로 429		서울특별시 노원구청	02-2116-3434	37.6548896	127.0669518	2022-08-28
3648	상계1동주민센터	상계1동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로 1697		서울특별시 노원구청	02-2116-3434	37.6799119	127.0549361	2022-08-28
3649	노원구청	노원구청신관3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3650	노원구청	노원구청신관지하1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3651	노원구청	노원구청신관1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3652	노원구청	노원구청신관2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3653	노원구청	노원구청신관2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3654	노원구청	노원구청본관3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3655	노원구청	노원구청별관3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3656	노원구청	노원구청별관2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3657	노원구청	노원구청신관2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3658	노원구 보건소	노원구보건소1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6545982	127.0569983	2022-08-28
3659	노원구 보건소	노원구보건소3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6545982	127.0569983	2022-08-28
3660	노원구 보건소	노원구보건소2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6545982	127.0569983	2022-08-28
3661	하계1동주민센터	하계1동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노원로 261		서울특별시 노원구청	02-2116-3434	37.6405682	127.0725646	2022-08-28
3662	월계3동주민센터	월계3동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 마들로 57		서울특별시 노원구청	02-2116-3434	37.6210217	127.0692458	2022-08-28
3663	월계2동주민센터	월계2동주민센터3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 초안산로5길 28		서울특별시 노원구청	02-2116-3434	37.6324948	127.0507309	2022-08-28
3664	월계2동주민센터	월계2동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 초안산로5길 28		서울특별시 노원구청	02-2116-3434	37.6324948	127.0507309	2022-08-28
3665	월계1동주민센터	월계1동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 석계로 59		서울특별시 노원구청	02-2116-3434	37.6198943	127.0629907	2022-08-28
3666	노원 문화의집	노원문화의집	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	Nov-21	서울특별시 노원구 한글비석로 530		서울특별시 노원구청	02-2116-3434	37.665145	127.0577171	2022-08-28
3667	에코센터	에코센터2층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 덕릉로 450		서울특별시 노원구청	02-2116-3434	37.6447824	127.0593246	2022-08-28
3668	에코센터	에코센터1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 덕릉로 450		서울특별시 노원구청	02-2116-3434	37.6447824	127.0593246	2022-08-28
3669	에코센터	에코센터지하1층	서울특별시	노원구	지역문화시설	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 덕릉로 450		서울특별시 노원구청	02-2116-3434	37.6447824	127.0593246	2022-08-28
3670	노원구청	노원구청본관4층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3671	노원구청	노원구청신관4층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3672	하계2동주민센터	하계2동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 공릉로55길 88		서울특별시 노원구청	02-2116-3434	37.6320583	127.0679637	2022-08-28
3673	중계본동주민센터	중계본동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 중계로 143		서울특별시 노원구청	02-2116-3434	37.6478107	127.0802838	2022-08-28
3674	중계4동주민센터	중계4동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 덕릉로82길 50		서울특별시 노원구청	02-2116-3434	37.6587626	127.0779763	2022-08-28
3675	중계2.3동주민센터	중계2.3동주민센터3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 노원로17길 56		서울특별시 노원구청	02-2116-3434	37.642132	127.0687374	2022-08-28
3676	중계2.3동주민센터	중계2.3동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 노원로17길 56		서울특별시 노원구청	02-2116-3434	37.642132	127.0687374	2022-08-28
3677	중계2.3동주민센터	중계2.3동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 노원로17길 56		서울특별시 노원구청	02-2116-3434	37.642132	127.0687374	2022-08-28
3678	중계1동주민센터	중계1동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 한글비석로 279		서울특별시 노원구청	02-2116-3434	37.6525561	127.077479	2022-08-28
3679	월계헬스케어센터	월계헬스케어센터5층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 월계로 378		서울특별시 노원구청	02-2116-3434	37.63144895	127.0616415	2022-08-28
3680	월계헬스케어센터	월계헬스케어센터4층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 월계로 378		서울특별시 노원구청	02-2116-3434	37.63144895	127.0616415	2022-08-28
3681	월계헬스케어센터	월계헬스케어센터3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 월계로 378		서울특별시 노원구청	02-2116-3434	37.63144895	127.0616415	2022-08-28
3682	월계헬스케어센터	월계헬스케어센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 월계로 378		서울특별시 노원구청	02-2116-3434	37.63144895	127.0616415	2022-08-28
3683	월계헬스케어센터	월계헬스케어센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 월계로 378		서울특별시 노원구청	02-2116-3434	37.63144895	127.0616415	2022-08-28
3684	상계9동주민센터	상계9동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 한글비석로 487		서울특별시 노원구청	02-2116-3434	37.6645317	127.0638287	2022-08-28
3685	상계8동주민센터	상계8동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 동일로227길 97		서울특별시 노원구청	02-2116-3434	37.6667544	127.0515603	2022-08-28
3686	상계6.7동주민센터	상계6.7동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 노원로 429		서울특별시 노원구청	02-2116-3434	37.6548896	127.0669518	2022-08-28
3687	상계5동주민센터	상계5동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 한글비석로 434		서울특별시 노원구청	02-2116-3434	37.6629695	127.0693944	2022-08-28
3688	상계3.4동주민센터	상계3.4동주민센터5층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 덕릉로 859		서울특별시 노원구청	02-2116-3434	37.6729217	127.0832196	2022-08-28
3689	상계3.4동주민센터	상계3.4동주민센터3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 덕릉로 859		서울특별시 노원구청	02-2116-3434	37.6729217	127.0832196	2022-08-28
3690	상계3.4동주민센터	상계3.4동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 덕릉로 859		서울특별시 노원구청	02-2116-3434	37.6729217	127.0832196	2022-08-28
3691	상계3.4동주민센터	상계3.4동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 덕릉로 859		서울특별시 노원구청	02-2116-3434	37.6729217	127.0832196	2022-08-28
3692	상계3.4동주민센터	상계3.4동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	May-21	서울특별시 노원구 덕릉로 859		서울특별시 노원구청	02-2116-3434	37.6729217	127.0832196	2022-08-28
3693	공릉2동주민센터	공릉2동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노원로1길 68		서울특별시 노원구청	02-2116-3434	37.6212865	127.0833049	2022-08-28
3694	공릉2동주민센터	공릉2동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 노원로1길 68		서울특별시 노원구청	02-2116-3434	37.6212865	127.0833049	2022-08-28
3695	상계10동주민센터	상계10동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Sep-21	서울특별시 노원구 노원로 530		서울특별시 노원구청	02-2116-3434	37.661274	127.0602694	2022-08-28
3696	노원구청	노원구청본관2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 노해로 437		서울특별시 노원구청	02-2116-3434	37.6543566	127.0564207	2022-08-28
3697	상계2동주민센터	상계2동주민센터4층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 상계로 118		서울특별시 노원구청	02-2116-3434	37.6574937	127.0678654	2022-08-28
3698	상계2동주민센터	상계2동주민센터3층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 상계로 118		서울특별시 노원구청	02-2116-3434	37.6574937	127.0678654	2022-08-28
3699	상계2동주민센터	상계2동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 상계로 118		서울특별시 노원구청	02-2116-3434	37.6574937	127.0678654	2022-08-28
3700	상계2동주민센터	상계2동주민센터1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 상계로 118		서울특별시 노원구청	02-2116-3434	37.6574937	127.0678654	2022-08-28
3701	상계2동주민센터	상계2동주민센터지하1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 상계로 118		서울특별시 노원구청	02-2116-3434	37.6574937	127.0678654	2022-08-28
3702	상계2동주민센터	상계2동주민센터5층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Aug-21	서울특별시 노원구 상계로 118		서울특별시 노원구청	02-2116-3434	37.6574937	127.0678654	2022-08-28
3703	공릉2동주민센터	공릉2동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노원로1길 68		서울특별시 노원구청	02-2116-3434	37.6212865	127.0833049	2022-08-28
3704	공릉2동주민센터	공릉2동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jul-21	서울특별시 노원구 노원로1길 68		서울특별시 노원구청	02-2116-3434	37.6212865	127.0833049	2022-08-28
3705	상계1동주민센터	상계1동주민센터지하1층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Jun-21	서울특별시 노원구 동일로 1697		서울특별시 노원구청	02-2116-3434	37.6799119	127.0549361	2022-08-28
3706	중계2.3동주민센터	중계2.3동주민센터2층	서울특별시	노원구	관공서	서울특별시 노원구청	PublicWiFi Seoul	Apr-21	서울특별시 노원구 노원로17길 56		서울특별시 노원구청	02-2116-3434	37.642132	127.0687374	2022-08-28
